"imaging_files","direct_files","path"
"126","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171029_HKK22_CB3pcD1_100x"
"126","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171029_HKK22_CB3pcD1_100x"
"126","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\AVG6\3419_AVG6_HA"
"125","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL 5 - done"
"125","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL - DONE"
"125","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171029_HKK5_CB3pcD1_100x"
"125","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171029_HKK5_CB3pcD1_100x"
"123","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180113_HKK5_ISD5_100x"
"123","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180113_HKK5_ISD5_100x"
"123","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi Ion Transport Genes\mca-2\dataset 2"
"123","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm9"
"123","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\D-J isoforms\Worm2"
"123","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm6"
"120","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\AVG6\3419_AVG6_HA\Green"
"120","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm9"
"119","0","L:\02_Duchenne Muscular Dystrophy\Adina\Adina_branching paper\branch count\Crawling N2 day5"
"118","0","L:\03_Magnetic Transduction\'tope\Amsh-Gcamp\RNAi"
"116","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 22"
"116","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221114 Pdys 1CI"
"115","0","L:\02_Duchenne Muscular Dystrophy\Adina\Worm length"
"114","1","L:\03_Magnetic Transduction\Aalimah\SLB253-03\OneDrive - IL State University\Documents"
"113","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\06.27.25\L4440 DAY 5 CRAWL 6 - done"
"113","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180316_HKK5_CB6%D3\100x"
"112","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\Nevyn_Calmodulin targets"
"112","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Swim vs Crawl Neuron"
"112","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5\BAD"
"112","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180318_HKK5_CB6%D5"
"112","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5\BAD"
"111","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Anjelica\Andres calcium\Crawling"
"110","16","L:\02_Duchenne Muscular Dystrophy\Adina\Dys expression_need to download\dys-1 isoform images"
"107","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\Only pretzel\AVG6\790 DIC"
"107","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\Only pretzel\AVG6"
"107","6","L:\10_AGVG LAB\09_Individual Folders\High School Students\Nick"
"106","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\dataset 3"
"104","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca-1 400min brightness & qPCR"
"102","9","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171030_HKK5_CB3pcD5"
"102","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\PMCA IF myoblasts\Unused or Wrong Concentration"
"102","9","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171030_HKK5_CB3pcD5"
"102","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\D-J isoforms\Worm4"
