path,ext,size_bytes,mtime
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_20.lsm,.lsm,6334251,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_21.lsm,.lsm,6647377,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_22.lsm,.lsm,6334251,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_23.lsm,.lsm,5394873,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_24.lsm,.lsm,6021125,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_25.lsm,.lsm,6021125,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_26.lsm,.lsm,6021125,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_27.lsm,.lsm,6021125,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_3.lsm,.lsm,6960501,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_4.lsm,.lsm,6960501,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_5.lsm,.lsm,6647375,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_6.lsm,.lsm,6647375,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_7.lsm,.lsm,6960501,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_8.lsm,.lsm,6960501,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_N2_CD5_100x\Full worm\N2_CD5_9.lsm,.lsm,6334249,2018-11-27
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_1.lsm,.lsm,61470361,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_2.lsm,.lsm,52677749,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_2_Max.lsm,.lsm,1951345,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_3.lsm,.lsm,17607061,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_4.lsm,.lsm,17607063,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_5.lsm,.lsm,35142409,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_6.lsm,.lsm,43910082,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_7.lsm,.lsm,43910082,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\12118_HKK22_CB3%D5_100x_full worm\HKK22_CB3%D5_8.lsm,.lsm,35142409,2018-12-01
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180820_HKK22_CB3%D5alive_20x\180820_HKK22_CB3%D5_alive.lsm,.lsm,115550979,2018-08-20
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 1\HKK22_CB3%D5_alive_w1.lsm,.lsm,72642994,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 2\HKK22_CB3%D5_alive_w2.lsm,.lsm,140815738,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 2\HKK22_CB3%D5_alive_w2top.lsm,.lsm,70443742,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 3\HKK22_CB3%D5_alive_w3.lsm,.lsm,145214255,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 3\HKK22_CB3%D5_alive_w3_.lsm,.lsm,24262157,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 4\HKK22_CB3%D5_alive_w4.lsm,.lsm,123222807,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 4\HKK22_CB3%D5_alive_w41.lsm,.lsm,343135721,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK22_CB3%D5alive_100x\worm 5\HKK22_CB3%D5_alive_w5.lsm,.lsm,445394920,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180821_HKK5_CB3%D5alive_100x\HKK5_CB3%D5_alive_w1.lsm,.lsm,673003699,2018-08-21
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180822_HKK5_CB3%D5alive_100x\worm 1\HKK5_CB3%D5.lsm,.lsm,270563828,2018-08-22
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180822_HKK5_CB3%D5alive_100x\worm 1\2\HKK5_CB3%D5_w1.lsm,.lsm,180399796,2018-08-22
